timestamp,system_uptime,frame_id,fps,counts,event,confidence,note,extra
2025-08-29T16:41:53.365268,1756456913.3652685,,7.405093148401859,{},,,,
2025-08-29T16:41:53.483719,1756456913.4837196,,7.88975459638008,{},,,,
2025-08-29T16:41:53.522629,1756456913.5226297,,10.294437872146164,{},,,,
2025-08-29T16:41:53.558050,1756456913.5580504,,12.23922834836377,{},,,,
2025-08-29T16:41:53.594809,1756456913.5948093,,13.714297672204305,{},,,,
2025-08-29T16:41:53.640884,1756456913.6408842,,14.61070212677018,{},,,,
2025-08-29T16:41:53.676735,1756456913.676735,,15.677188028789086,{},,,,
2025-08-29T16:41:53.716184,1756456913.7161846,,16.46231657735016,{},,,,
2025-08-29T16:41:53.759194,1756456913.7591941,,17.014266320270146,{},,,,
2025-08-29T16:41:53.795119,1756456913.795119,,17.702474790362853,{},,,,
2025-08-29T16:41:53.838398,1756456913.838398,,18.086997428707292,{},,,,
2025-08-29T16:41:53.945645,1756456913.945645,,16.773391666699993,"{""person"": 1}",,,,
2025-08-29T16:41:54.030558,1756456914.0315464,,16.243257639038667,"{""person"": 1}",,,,
2025-08-29T16:41:54.073091,1756456914.0730915,,16.610010146431648,{},,,,
2025-08-29T16:41:54.107274,1756456914.107274,,17.102831100376367,"{""person"": 1}",,,,
2025-08-29T16:41:54.180241,1756456914.1802416,,16.841833906239767,"{""person"": 1}",,,,
2025-08-29T16:41:54.226860,1756456914.2268608,,17.057406987436927,"{""person"": 1}",,,,
2025-08-29T16:41:54.272939,1756456914.2729394,,17.26265726693032,{},,,,
2025-08-29T16:41:54.309983,1756456914.309983,,17.59655610678966,{},,,,
2025-08-29T16:41:54.341555,1756456914.3415554,,17.996469618033952,{},,,,
2025-08-29T16:41:54.375981,1756456914.3759813,,18.3285248910396,{},,,,
2025-08-29T16:41:54.420930,1756456914.4209301,,18.476466378624373,"{""person"": 1}",,,,
2025-08-29T16:41:54.461661,1756456914.4616616,,18.677392161957354,{},,,,
2025-08-29T16:41:54.495273,1756456914.4952736,,18.971622465389608,{},,,,
2025-08-29T16:41:54.532449,1756456914.5324497,,19.19793420666465,{},,,,
2025-08-29T16:41:54.568879,1756456914.5688791,,19.42251123253407,{},,,,
2025-08-29T16:41:54.603174,1756456914.6031747,,19.665706183990693,{},,,,
2025-08-29T16:41:54.635625,1756456914.635626,,19.923156395078,{},,,,
2025-08-29T16:41:54.671880,1756456914.6718805,,20.115780811333586,{},,,,
2025-08-29T16:41:54.707051,1756456914.7070513,,20.313848982274376,{},,,,
2025-08-29T16:41:54.740282,1756456914.7402828,,20.529033244095494,{},,,,
2025-08-29T16:41:54.774484,1756456914.7744844,,20.721924420356803,{},,,,
2025-08-29T16:41:54.810944,1756456914.810944,,20.876591607464906,{},,,,
2025-08-29T16:41:54.850225,1756456914.850225,,20.98767124759392,"{""person"": 1}",,,,
2025-08-29T16:41:54.895353,1756456914.895353,,21.019420255989075,"{""person"": 1}",,,,
2025-08-29T16:41:54.942516,1756456914.9425166,,21.02447246996811,"{""person"": 1}",,,,
